symbol,twitter,username,id
BTC,https://twitter.com/BITCOIN,BITCOIN,357312062
ETH,https://twitter.com/ethereum,ethereum,2312333412
ZEC,https://twitter.com/ZcashFoundation,ZcashFoundation,836606419965202438
XEM,https://twitter.com/nemofficial,nemofficial,2313671966
WAVES,https://twitter.com/wavesprotocol,wavesprotocol,707515829798182912
SC,https://twitter.com/SkynetLabs,SkynetLabs,3351041295
XMR,https://twitter.com/monero,monero,2478439963
XLM,https://twitter.com/StellarOrg,StellarOrg,2460502890
XRP,https://twitter.com/Ripple,Ripple,1051053836
DOGE,https://twitter.com/dogecoin,dogecoin,2235729541
BNT,https://twitter.com/Bancor,Bancor,816646997356777472
OMG,https://twitter.com/omgnetworkhq,omgnetworkhq,1421240925167128583
ZEN,https://twitter.com/horizenglobal,horizenglobal,873936272976474113
STORJ,https://twitter.com/storj,storj,345738416
CVC,https://twitter.com/civickey,civickey,4711101020
BAT,https://twitter.com/AttentionToken,AttentionToken,841424245938769920
IOTA,https://twitter.com/iota,iota,3992601857
ANT,https://twitter.com/AragonProject,AragonProject,828668619986964480
QTUM,https://twitter.com/qtum,qtum,773009781644677120
ZRX,https://twitter.com/0xProject,0xProject,826699259441328128
BTM,https://twitter.com/Bytom_Official,Bytom_Official,897349629385232388
LRC,https://twitter.com/loopringorg,loopringorg,9130922
MANA,https://twitter.com/decentraland,decentraland,3291830170
KNC,https://twitter.com/KyberNetwork,KyberNetwork,865963965649571840
ADA,https://twitter.com/Cardano,Cardano,825920479055671296
ENJ,https://twitter.com/enjin,enjin,20356963
THETA,https://twitter.com/Theta_Network,Theta_Network,918994376105197568
IOST,https://twitter.com/IOST_Official,IOST_Official,946758251902881792
ZIL,https://twitter.com/zilliqa ,zilliqa,872984298973941764
MKR,https://twitter.com/MakerDAO,MakerDAO,3190865591
REN,https://twitter.com/renprotocol,renprotocol,893448476146544645
ONT,https://twitter.com/OntologyNetwork,OntologyNetwork,922358568602365953
RVN,https://twitter.com/Ravencoin,Ravencoin,910233733265018880
XTZ,https://twitter.com/tezos,tezos,745758443324080128
LPT,https://twitter.com/Livepeer,Livepeer,842813286773145601
BTT,https://twitter.com/BitTorrent,BitTorrent,36208197
CRO,https://twitter.com/cryptocom,cryptocom,864347902029709314
ATOM,https://twitter.com/cosmos,cosmos,15223775
MATIC,https://twitter.com/0xPolygon,0xPolygon,914738730740715521
RSR,https://twitter.com/reserveprotocol,reserveprotocol,995796935817621504
FTM,https://twitter.com/FantomFDN,FantomFDN,977020204071792641
SNX,https://twitter.com/synthetix_io,synthetix_io,898875132864716800
ALGO,https://twitter.com/AlgoFoundation,AlgoFoundation,1090346259892838400
LUNA,https://twitter.com/terra_money,terra_money,1022028994772910086
CHZ,https://twitter.com/Chiliz,Chiliz,2590633042
BAND,https://twitter.com/BandProtocol,BandProtocol,993805028182781954
SOL,https://twitter.com/solana,solana,951329744804392960
JST,https://twitter.com/DeFi_JUST,DeFi_JUST,1250795698615758848
TRB,https://twitter.com/WeAreTellor,WeAreTellor,1113767494177755136
SLP,https://twitter.com/AxieInfinity,AxieInfinity,957716432430641152
CELO,https://twitter.com/CeloOrg,CeloOrg,1009135067153616896
UMA,https://twitter.com/UMAprotocol,UMAprotocol,1069285955549442054
COMP,https://twitter.com/compoundfinance,compoundfinance,292132128
FIL,https://twitter.com/Filecoin,Filecoin,2653394250
BAL,https://twitter.com/BalancerLabs,BalancerLabs,1162883382700912640
WNXM,https://twitter.com/NexusMutual,NexusMutual,889753804614369281
YFI,https://twitter.com/iearnfinance,iearnfinance,1223779978459770880
KSM,https://twitter.com/kusamanetwork,kusamanetwork,1141423436671201282
YFII,https://twitter.com/DfiMoney,DfiMoney,1287360350623391745
SRM,https://twitter.com/ProjectSerum,ProjectSerum,1286548095027703808
CRV,https://twitter.com/CurveFinance,CurveFinance,1214050967986946051
SAND,https://twitter.com/TheSandboxGame,TheSandboxGame,347831597
SUSHI,https://twitter.com/SushiSwap,SushiSwap,1303577160234328066
EGLD,https://twitter.com/ElrondNetwork,ElrondNetwork,986967941685153792
SWRV,https://twitter.com/SwerveFinance,SwerveFinance,1301547287991197696
PERP,https://twitter.com/perpprotocol,perpprotocol,1231831448509829121
GALA,https://twitter.com/GoGalaGames,GoGalaGames,1288572182444961793
UNI,https://twitter.com/Uniswap,Uniswap,984188226826010624
AVAX,https://twitter.com/avalancheavax,avalancheavax,1055894724245155841
FLM,https://twitter.com/FlamingoFinance,FlamingoFinance,1298598468378746881
AAVE,https://twitter.com/AaveAave,AaveAave,867100084248469505
ALPHA,https://twitter.com/AlphaVentureDAO,AlphaVentureDAO,1260105245033558022
NEAR,https://twitter.com/NEARProtocol,NEARProtocol,1031949518609121280
AXS,https://twitter.com/AxieInfinity,AxieInfinity,957716432430641152
BADGER,https://twitter.com/BadgerDAO,BadgerDAO,1289558152581722113
GRT,https://twitter.com/graphprotocol,graphprotocol,981325507080814592
LON,https://twitter.com/tokenlon,tokenlon,980658756609392641
1INCH,https://twitter.com/1inch,1inch,1137038394503114753
MIR,https://twitter.com/mirror_protocol,mirror_protocol,1334427533064855552
MASK,https://twitter.com/realMaskNetwork,realMaskNetwork,1113516753307426816
DORA,https://twitter.com/DoraFactory,DoraFactory,1357247019333480449
CONV,https://twitter.com/ConvergenceFin,ConvergenceFin,1359091443537563651
CFX,https://twitter.com/Conflux_Network,Conflux_Network,1082011146117439491
SHIB,https://twitter.com/Shibtoken,Shibtoken,1356248804899565569
XCH,https://twitter.com/chia_project,chia_project,956333277744218113
ICP,https://twitter.com/dfinity,dfinity,799071635231817729
CSPR,https://twitter.com/Casper_Network,Casper_Network,1061731562637553664
MINA,https://twitter.com/MinaProtocol,MinaProtocol,991439317053591552
CQT,https://twitter.com/covalent_hq,covalent_hq,984467204828577792
AGLD,https://twitter.com/lootproject,lootproject,1389684530995515394
DYDX,https://twitter.com/dydxfoundation,dydxfoundation,1413217545545568261
YGG,https://twitter.com/YieldGuild,YieldGuild,1318927549091622913
ENS,https://twitter.com/ensdomains,ensdomains,996321865311358976
NFT,https://twitter.com/NFT_Protocol,NFT_Protocol,1091141211941941248
PEOPLE,https://twitter.com/ConstitutionDAO,ConstitutionDAO,1458980245860720645
BICO,https://twitter.com/biconomy,biconomy,1140637286637473792
IMX,https://twitter.com/Immutable,Immutable,1233171399872638976
KISHU,https://twitter.com/InuKishu,InuKishu,1333281524930781192
STARL,https://twitter.com/StarLinkETH,StarLinkETH,1395968428108763137
TORN,https://twitter.com/TornadoCash,TornadoCash,1154795176507969543
